Code;Name;Role;OVA;POT;Championship;Country;Team;ID;Height;Weight;Foot;Role2;Role3;LChampionship;LC'ship Code;LTeam
ESP;Iniesta;CC;83;83;Japanese J. League Division 1;Japan;Vissel Kobe;41;171;68;Right;ES;COC;;;
TUR;Belözoğlu E.;CC;78;78;Turkish Super Lig;Turkey;Medipol Basaksehir FK;80;169;72;Left;CDC;;;;
ITA;Buffon G.;POR;83;83;Italian Serie A;Italy;Juventus;1179;192;92;Right;;;;;
ESP;Casillas;POR;83;83;Portuguese Liga ZON SAGRES;Portugal;FC Porto;5479;185;84;Left;;;;;
POR;Quaresma;ED;81;81;Turkish Super Lig;Turkey;Besiktas JK;20775;175;67;Right;ES;;;;
POR;Cristiano Ronaldo;ATT;93;93;Italian Serie A;Italy;Juventus;20801;187;83;Right;AS;;;;
ESP;Pepe Reina;POR;82;82;Italian Serie A;Italy;Milan;24630;188;92;Right;;;;;
PER;Pizarro C.;ATT;75;75;German 1. Bundesliga;Germany;SV Werder Bremen;25420;184;84;Right;;;;;
SWE;Ibrahimović Z.;ATT;85;85;USA Major League Soccer;Usa;LA Galaxy;41236;195;95;Right;;;;;
ESP;Joaquín;ES;80;80;Spain Primera Division;Spain;Real Betis;45186;179;75;Right;ATT;ED;;;
BEL;Proto S.;POR;76;76;Italian Serie A;Italy;Lazio;47201;184;74;Right;;;;;
SCO;McGregor A.;POR;75;75;Scottish Premiership;Scotland;Rangers FC;49000;183;74;Right;;;;;
ENG;Defoe J.;ATT;76;76;Scottish Premiership;Scotland;Rangers FC;50542;171;65;Right;;;English Premier League;England;Bournemouth
ITA;De Rossi D.;CDC;82;82;Argentina Primera Division;Argentina;Boca Juniors;53302;184;83;Right;;;;;
ENG;Jagielka P.;DC;76;76;English Premier League;England;Sheffield United;53914;180;87;Right;;;;;
ENG;Rooney W.;ATT;80;80;USA Major League Soccer;Usa;DC United;54050;176;83;Right;;;;;
NOR;Jarstein R.;POR;83;83;German 1. Bundesliga;Germany;Hertha BSC;104389;190;82;Right;;;;;
POL;Boruc A.;POR;75;75;English Premier League;England;Bournemouth;105846;193;87;Right;;;;;
ESP;Aduriz;ATT;82;82;Spain Primera Division;Spain;Athletic Club de Bilbao;106231;182;78;Right;;;;;
ESP;Jonathan Soriano;ATT;75;75;Saudi Abdul L. Jameel League;Arabia;Al Hilal;110376;180;72;Right;AT;;;;
ESP;Moyá;POR;80;80;Spain Primera Division;Spain;Real Sociedad;110677;188;83;Right;;;;;
FRA;Mathieu J.;DC;81;81;Portuguese Liga ZON SAGRES;Portugal;Sporting CP;112316;189;84;Left;;;;;
FRA;Cohade R.;CC;75;75;French Ligue 1;France;FC Metz;112365;181;75;Right;;;;;
ESP;David Villa;ATT;79;79;Japanese J. League Division 1;Japan;Vissel Kobe;113422;175;69;Right;;;;;
POR;Pepe;DC;84;84;Portuguese Liga ZON SAGRES;Portugal;FC Porto;120533;188;81;Right;;;;;
GER;Schweinsteiger B.;DC;76;76;USA Major League Soccer;Usa;Chicago Fire;121944;183;79;Right;CDC;;;;
TUR;Yılmaz B.;ATT;79;79;Turkish Super Lig;Turkey;Besiktas JK;124375;188;77;Right;;;;;
TUR;Topal M.;CDC;76;76;Turkish Super Lig;Turkey;Fenerbahçe SK;124635;187;82;Right;DC;;;;
TUR;Kaldırım H.;TS;76;76;Turkish Super Lig;Turkey;Fenerbahçe SK;125871;183;75;Left;;;;;
DEN;Hansen J.;POR;75;75;Danish Superliga;Denmark;FC Midtjylland;132740;188;78;Right;;;;;
CAN;Hutchinson A.;CDC;76;76;Turkish Super Lig;Turkey;Besiktas JK;134744;187;83;Right;CC;;;;
FRA;Briand J.;ATT;76;76;French Ligue 1;France;FC Girondins de Bordeaux;134779;181;84;Right;;;;;
SCO;Brown S.;CDC;75;75;Scottish Premiership;Scotland;Celtic;134820;175;80;Right;;;;;
BRA;Gomes;POR;76;76;English Premier League;England;Watford;135451;191;95;Right;;;;;
BRA;Fernandinho;CDC;87;87;English Premier League;England;Manchester City;135507;179;67;Right;;;;;
ENG;Francis S.;DC;75;75;English Premier League;England;Bournemouth;135883;187;90;Right;TD;;;;
JAM;Morgan W.;DC;75;75;English Premier League;England;Leicester City;136113;186;101;Right;;;;;
GER;Baier D.;CDC;77;77;German 1. Bundesliga;Germany;FC Augsburg;137351;176;78;Right;CC;;;;
ENG;Milner J.;CC;81;81;English Premier League;England;Liverpool;138412;175;70;Right;TS;;;;
SUI;Džemaili B.;CC;76;76;Italian Serie A;Italy;Bologna;138699;179;73;Right;CDC;COC;;;
ITA;Rigoni L.;CC;75;75;Italian Serie A;Italy;Parma;138918;185;75;Right;CDC;;;;
ITA;Chiellini G.;DC;89;89;Italian Serie A;Italy;Juventus;138956;187;85;Left;;;;;
ARG;Caballero W.;POR;75;75;English Premier League;England;Chelsea;139062;186;81;Right;;;;;
ARG;Ponzio L.;CDC;76;76;Argentina Primera Division;Argentina;River Plate;139064;174;71;Right;;;;;
POR;Nani;AS;80;80;USA Major League Soccer;Usa;Orlando City SC;139068;177;70;Right;AD;;;;
BEL;Kompany V.;DC;83;83;Belgian Jupiler Pro League;Belgium;RSC Anderlecht;139720;190;85;Right;;;;;
MAD;Morel J.;DC;75;75;French Ligue 1;France;Stade Rennais FC;139860;175;78;Left;;;;;
BRA;Rafael;POR;75;75;Italian Serie A;Italy;Cagliari;140082;187;80;Right;;;;;
MEX;Ochoa G.;POR;78;78;Mexican Liga MX;Mexico;Club América;140233;185;78;Right;;;;;
ITA;Mirante A.;POR;79;79;Italian Serie A;Italy;Roma;140293;193;79;Right;;;;;
BRA;Jô;ATT;77;77;Japanese J. League Division 1;Japan;Nagoya Grampus;140384;192;78;Left;;;;;
EST;Klavan R.;DC;76;76;Italian Serie A;Italy;Cagliari;140620;187;85;Left;;;;;
ARG;López L.;ATT;81;81;Argentina Primera Division;Argentina;Racing Club;142707;174;72;Right;;;;;
ARG;Barovero M.;POR;75;75;Mexican Liga MX;Mexico;Monterrey;142721;182;74;Right;;;;;
ARG;Mascherano J.;CDC;80;80;Chinese Super League;China;Hebei China Fortune FC;142754;174;73;Right;DC;;;;
ARG;Zabaleta P.;TD;75;75;English Premier League;England;West Ham United;142784;178;74;Right;CDC;;;;
UKR;Pyatov A.;POR;77;77;Ukranian Premier League;Ukraine;Shakhtar Donetsk;142902;190;84;Right;;;;;
ARG;Barbosa M.;POR;75;75;Spain Primera Division;Spain;Villarreal CF;142959;188;79;Right;;;;;
ARG;Dátolo J.;CC;76;76;Argentina Primera Division;Argentina;Club Atlético Banfield;142966;177;77;Left;COC;ES;;;
ARG;Tévez C.;COC;78;78;Argentina Primera Division;Argentina;Boca Juniors;143001;171;77;Right;ATT;;;;
ARG;Gómez A.;COC;85;85;Italian Serie A;Italy;Atalanta;143076;165;68;Right;AT;ATT;;;
ARG;Sosa J.;CC;78;78;Turkish Super Lig;Turkey;Trabzonspor;143121;179;71;Right;CDC;;;;
TUR;Gönül G.;TD;75;75;Turkish Super Lig;Turkey;Besiktas JK;143699;175;75;Right;;;;;
TUR;Turan A.;ES;76;76;Turkish Super Lig;Turkey;Medipol Basaksehir FK;143745;177;76;Right;CC;;Spain Primera Division;Spain;FC Barcelona
TUR;Kırıntılı S.;POR;76;76;Turkish Super Lig;Turkey;Atiker Konyaspor;144172;185;78;Right;;;;;
SWE;Wendt O.;TS;76;76;German 1. Bundesliga;Germany;Borussia Mönchengladbach;144429;181;82;Left;ES;;;;
BRA;Raffael;AT;78;78;German 1. Bundesliga;Germany;Borussia Mönchengladbach;144622;174;69;Right;ATT;;;;
ESP;Andrés Fernández;POR;78;78;Spain Primera Division;Spain;Villarreal CF;146296;187;82;Right;;;;;
ESP;Jesús Navas;ED;82;82;Spain Primera Division;Spain;Sevilla FC;146536;170;60;Right;TD;;;;
ESP;Santi Cazorla;CC;82;82;Spain Primera Division;Spain;Villarreal CF;146562;168;65;Right;CDC;ES;;;
ESP;Iván Ramis;DC;77;77;Spain Primera Division;Spain;SD Eibar;146701;188;82;Right;;;;;
ESP;Diego López;POR;80;80;Spain Primera Division;Spain;RCD Espanyol;146748;196;89;Right;;;;;
